Title,AttDMG,Crit,Magic_DMG,Fire_DMG,Lighting_DMG,Holy_DMG,Weight,Name,TotalReq,Required Intelligence,Required Faith,Required Arcane,NonZero_DMG_Count,NonZero_Req_Count,Rarity
Celebrant's Cleaver ,125,100,0,0.0,0.0,0.0,4.5,GLINTBLADE TRIO,28,28,0,0,0,1,Common
Noble's Slender Sword ,101,110,0,0.0,0.0,0.0,3.5,RELLANA'S TWIN MOONS,72,72,0,0,0,1,Common
Frenzyflame Perfume Bottle ,0,100,0,105.0,0.0,0.0,1.0,MIRIAM'S VANISHING,26,26,0,0,1,1,Common
Greathorn Hammer ,134,100,0,0.0,0.0,0.0,10.0,GRAVITATIONAL MISSILE,36,36,0,0,0,1,Common
Spiked Caestus ,91,100,0,0.0,0.0,0.0,2.0,BLADES OF STONE,48,48,0,0,0,1,Common
Ordovis's Greatsword ,107,100,0,0.0,0.0,69.0,12.0,GLINTSTONE NAIL,18,18,0,0,1,1,Common
Butchering Knife ,134,100,0,0.0,0.0,0.0,8.5,GLINTSTONE NAILS,32,32,0,0,0,1,Common
Maliketh's Black Blade ,127,100,0,0.0,0.0,82.0,22.0,FLEETING MICROCOSM,42,42,0,0,1,1,Common
Golden Epitaph ,85,100,0,0.0,0.0,85.0,3.5,CHERISHING FINGERS,36,36,0,0,1,1,Common
Dragon King's Cragblade ,92,100,0,0.0,59.0,0.0,8.0,MANTLE OF THORNS,20,0,20,0,1,1,Common
Smithscript Spear ,107,100,0,0.0,0.0,0.0,4.0,IMPENETRABLE THORNS,24,0,24,0,0,1,Common
Large Club ,131,100,0,0.0,0.0,0.0,0.5,RINGS OF SPECTRAL LIGHT,42,24,18,0,0,2,Common
Jar Cannon ,192,100,0,0.0,0.0,0.0,15.0,MASS OF PUTRESCENCE,50,28,22,0,0,2,Common
Serpent Bow ,75,100,0,0.0,0.0,0.0,3.5,VORTEX OF PUTRESCENCE,58,32,26,0,0,2,Common
Hand Axe ,117,100,0,0.0,0.0,0.0,3.5,WRATH FROM AFAR,34,0,34,0,0,1,Common
Golden Order Greatsword ,86,100,0,0.0,0.0,103.0,10.0,HEAL FROM AFAR,18,0,18,0,1,1,Common
Ancient Meteoric Ore Greatsword ,154,100,46,0.0,0.0,0.0,22.0,MINOR ERDTREE,70,0,70,0,1,1,Common
Hand of Malenia ,117,100,0,0.0,0.0,0.0,7.0,ASPECTS OF THE CRUCIBLE: THORNS,27,0,27,0,0,1,Common
