Title,AttDMG,Crit,Magic_DMG,Fire_DMG,Lighting_DMG,Holy_DMG,Weight,Spell,TotalReq,Required Intelligence,Required Faith,Required Arcane
Celebrant's Cleaver | Elden Ring Wiki,125,100,0,0,0,0,4.5,GLINTBLADE TRIO,28,28,0,0
Noble's Slender Sword | Elden Ring Wiki,101,110,0,0,0,0,3.5,RELLANA'S TWIN MOONS,72,72,0,0
Frenzyflame Perfume Bottle | Elden Ring Wiki,0,100,0,105,0,0,1.0,MIRIAM'S VANISHING,26,26,0,0
Greathorn Hammer | Elden Ring Wiki,134,100,0,0,0,0,10.0,GRAVITATIONAL MISSILE,36,36,0,0
Spiked Caestus | Elden Ring Wiki,91,100,0,0,0,0,2.0,BLADES OF STONE,48,48,0,0
Ordovis's Greatsword | Elden Ring Wiki,107,100,0,0,0,69,12.0,GLINTSTONE NAIL,18,18,0,0
Butchering Knife | Elden Ring Wiki,134,100,0,0,0,0,8.5,GLINTSTONE NAILS,32,32,0,0
Maliketh's Black Blade | Elden Ring Wiki,127,100,0,0,0,82,22.0,FLEETING MICROCOSM,42,42,0,0
Golden Epitaph | Elden Ring Wiki,85,100,0,0,0,85,3.5,CHERISHING FINGERS,36,36,0,0
Dragon King's Cragblade | Elden Ring Wiki,92,100,0,0,59,0,8.0,MANTLE OF THORNS,20,0,20,0
Smithscript Spear | Elden Ring Wiki,107,100,0,0,0,0,4.0,IMPENETRABLE THORNS,24,0,24,0
Large Club | Elden Ring Wiki,131,100,0,0,0,0,0.5,RINGS OF SPECTRAL LIGHT,42,24,18,0
Jar Cannon | Elden Ring Wiki,192,100,0,0,0,0,15.0,MASS OF PUTRESCENCE,50,28,22,0
Serpent Bow | Elden Ring Wiki,75,100,0,0,0,0,3.5,VORTEX OF PUTRESCENCE,58,32,26,0
Hand Axe | Elden Ring Wiki,117,100,0,0,0,0,3.5,WRATH FROM AFAR,34,0,34,0
Golden Order Greatsword | Elden Ring Wiki,86,100,0,0,0,103,10.0,HEAL FROM AFAR,18,0,18,0
Ancient Meteoric Ore Greatsword | Elden Ring Wiki,154,100,46,0,0,0,22.0,MINOR ERDTREE,70,0,70,0
Hand of Malenia | Elden Ring Wiki,117,100,0,0,0,0,7.0,ASPECTS OF THE CRUCIBLE: THORNS,27,0,27,0
Greatsword of Solitude | Elden Ring Wiki,120,100,0,0,0,0,15.5,ASPECTS OF THE CRUCIBLE: BLOOM,27,0,27,0
Varre's Bouquet | Elden Ring Wiki,46,100,0,0,0,0,2.0,LAND OF SHADOW,58,0,58,0
Battle Axe | Elden Ring Wiki,128,100,0,0,0,0,0.5,MULTILAYERED RING OF LIGHT,36,0,36,0
Katar | Elden Ring Wiki,97,110,0,0,0,0,2.5,LIGHT OF MIQUELLA,72,0,72,0
Misbegotten Shortbow | Elden Ring Wiki,68,100,0,0,0,0,3.0,KNIGHT'S LIGHTNING SPEAR,36,0,36,0
Shotel | Elden Ring Wiki,96,100,0,0,0,0,2.0,ELECTROCHARGE,30,0,30,0
Caestus | Elden Ring Wiki,90,100,0,0,0,0,1.5,DRAGONBOLT OF FLORISSAX,52,0,52,0
Executioner's Greataxe | Elden Ring Wiki,150,115,0,0,0,0,15.0,GOLDEN ARCS,22,0,22,0
Beast-Repellent Torch | Elden Ring Wiki,58,100,0,104,0,0,2.5,GIANT GOLDEN ARC,34,0,34,0
Giant's Red Braid | Elden Ring Wiki,82,100,0,53,0,0,2.5,SPIRA,48,0,48,0
Serpent-Hunter | Elden Ring Wiki,111,100,0,0,0,0,12.0,WATCHFUL SPIRIT,26,0,26,0
Bloodfiend's Fork | Elden Ring Wiki,105,100,0,0,0,0,4.5,DIVINE BIRD FEATHERS,24,0,24,0
Urumi | Elden Ring Wiki,101,100,0,0,0,0,3.0,DIVINE BEAST TORNADO,28,0,28,0
Short Sword | Elden Ring Wiki,102,100,0,0,0,0,3.0,FIRE SERPENT,16,0,16,0
Harp Bow | Elden Ring Wiki,62,100,0,0,0,0,2.0,RAIN OF FIRE,52,0,52,0
Staff of the Avatar | Elden Ring Wiki,113,100,0,0,0,73,20.0,MESSMER'S ORB,60,0,60,0
Pest's Glaive | Elden Ring Wiki,120,100,0,0,0,0,7.0,ROAR OF RUGALEA,14,0,14,0
Maternal Staff | Elden Ring Wiki,26,100,0,0,0,0,2.5,FURIOUS BLADE OF ANSBACH,46,0,19,27
Prince of Death's Staff | Elden Ring Wiki,25,100,0,0,0,0,3.0,PEST-THREAD SPEARS,26,0,26,0
Partisan | Elden Ring Wiki,123,100,0,0,0,0,6.5,ROTTEN BUTTERFLIES,33,0,33,0
Velvet Sword of St Trina | Elden Ring Wiki,95,110,61,0,0,0,2.5,MIDRA'S FLAME OF FRENZY,41,0,41,0
Grossmesser | Elden Ring Wiki,115,100,0,0,0,0,4.5,GHOSTFLAME BREATH,38,0,23,15
Smithscript Greathammer | Elden Ring Wiki,141,100,0,0,0,0,9.0,BAYLE'S TYRANNY,49,0,0,49
Bastard Sword | Elden Ring Wiki,138,100,0,0,0,0,9.0,BAYLE'S FLAME LIGHTNING,53,0,0,53
Raptor Talons | Elden Ring Wiki,86,110,0,0,0,0,1.5,GLINTSTONE PEBBLE,10,10,0,0
Shortbow | Elden Ring Wiki,65,100,0,0,0,0,2.5, SWIFT GLINTSTONE SHARD,12,12,0,0
Death Knight's Twin Axes | Elden Ring Wiki,101,100,0,0,65,0,5.5,GREAT GLINTSTONE SHARD,16,16,0,0
Digger's Staff | Elden Ring Wiki,38,100,0,0,0,0,4.5,GLINTSTONE COMETSHARD,36,36,0,0
Spirit Glaive | Elden Ring Wiki,121,100,36,0,0,0,6.5,COMET,52,52,0,0
Stone Club | Elden Ring Wiki,122,100,0,0,0,0,7.0,SHARD SPIRAL,27,27,0,0
Godskin Peeler | Elden Ring Wiki,121,100,0,0,0,0,8.0,GLINTSTONE STARS,12,12,0,0
Spiked Club | Elden Ring Wiki,114,100,0,0,0,0,5.0,STAR SHOWER,24,24,0,0
Spiked Spear | Elden Ring Wiki,120,100,0,0,,,6.0,GLINTSTONE ARC,13,13,0,0
Rotten Staff | Elden Ring Wiki,165,100,0,0,0,0,18.0,CRYSTAL BURST,18,18,0,0
